ID,surname,name,patronymic,phone,address,bank card id,budget,scholarship,payment receipts ID,fix payment,studying,debtor,debtor_subjects
567829,Гномик,Гном,Гномыч,88005553535,Ул. Пушкина дом 4 кв 412,563721,1,4100.0,,,1,0,
567830,Культяпка,Ирина,Машинина,88005554545,Ул. Кукушкина дом 15 кв 64,863722,0,,373964;325412,1.0,1,1,Программирование
567831,Кулькина,Мария,Александровна,88005555555,Ул. Кукуево дом 12 кв 12,963723,1,2000.0,,,1,0,
567832,Пулькин,Егор,,88005556565,Ул. Мамуево дом 13 кв 63,163724,1,4100.0,,,1,0,
567833,Шупкин,Юрий,Владимирович,88005557575,Ул. Кулкаево дом 11 кв 12,263725,0,,436312,1.0,1,1,Программирование
567834,Рыбкина,Ксения,Евгеньевна,88005558585,Ул. Шапкино дом 2 кв 87,363726,1,0.0,,,1,0,
567835,Насибуллин,Данил,Наилевич,88005559595,Ул. Хади Такташа дом 4 кв 75,463727,1,4100.0,,,1,0,
567836,Савельиечева,Ксения,Андреевна,88005550505,Ул. Победы дом 7 кв 53,563728,1,4100.0,,,1,0,
567837,Щюкин,Евгений,Пылкин,88005551515,Ул. Славы дом 2 кв 1,663729,1,4100.0,,,1,0,
567838,Басков,Николай,Викторович,88005552525,Ул. Славы дом 2 кв 4,763730,0,,453875;365282,1.0,1,0,
567839,Овечкин,Александр,Михайлович,88006663535,Ул. Кукушкина дом 17 кв 21,863731,1,0.0,,,1,0,
